# time   X(t)     Y(t)      Z(t) 
 14.58  11.214   17.090    22.171
 14.59  11.802   17.573    23.497
 14.60  12.379   17.928    24.944
 14.61  12.934   18.127    26.498
 14.62  13.453   18.140    28.136
 14.63  13.922   17.941    29.826
 14.64  14.324   17.507    31.528
 14.65  14.642   16.827    33.195
 14.66  14.860   15.898    34.774
 14.67  14.964   14.732    36.209
 14.68  14.941   13.356    37.448
 14.69  14.783   11.811    38.445
 14.70  14.485   10.149    39.166
 14.71  14.052    8.430    39.591
 14.72  13.490    6.717    39.720
 14.73  12.812    5.069    39.567
 14.74  12.038    3.536    39.161
 14.75  11.188    2.157    38.543
 14.76  10.285    0.956    37.756
 14.77   9.352   -0.057    36.848
 14.78   8.411   -0.884    35.860
 14.79   7.482   -1.536    34.829
 14.80   6.580   -2.032    33.786
 14.81   5.719   -2.392    32.751
 14.82   4.908   -2.640    31.741
 14.83   4.153   -2.797    30.765
 14.84   3.458   -2.884    29.828
 14.85   2.824   -2.918    28.933
 14.86   2.250   -2.915    28.079
 14.87   1.733   -2.888    27.265
 14.88   1.271   -2.846    26.488
 14.89   0.859   -2.799    25.745
 14.90   0.493   -2.751    25.035
 14.91   0.169   -2.709    24.353
 14.92  -0.119   -2.676    23.699
 14.93  -0.375   -2.654    23.071
 14.94  -0.602   -2.646    22.465
 14.95  -0.807   -2.653    21.882
 14.96  -0.991   -2.676    21.320
 14.97  -1.160   -2.715    20.778
 14.98  -1.315   -2.772    20.256
 14.99  -1.461   -2.846    19.752
 15.00  -1.600   -2.938    19.267
 15.01  -1.733   -3.048    18.800
 15.02  -1.865   -3.177    18.351
 15.03  -1.996   -3.326    17.921
 15.04  -2.129   -3.494    17.510
 15.05  -2.266   -3.682    17.117
 15.06  -2.407   -3.892    16.744
 15.07  -2.556   -4.124    16.391
 15.08  -2.712   -4.379    16.060
 15.09  -2.879   -4.659    15.750
 15.10  -3.057   -4.965    15.464
 15.11  -3.248   -5.299    15.204
 15.12  -3.453   -5.661    14.970
 15.13  -3.674   -6.055    14.767
 15.14  -3.912   -6.480    14.595
 15.15  -4.169   -6.940    14.460
 15.16  -4.446   -7.435    14.363
 15.17  -4.745   -7.967    14.311
 15.18  -5.067   -8.537    14.307
 15.19  -5.414   -9.145    14.358
 15.20  -5.787   -9.792    14.471
 15.21  -6.188  -10.477    14.651
 15.22  -6.617  -11.199    14.909
 15.23  -7.075  -11.953    15.252
 15.24  -7.563  -12.735    15.691
 15.25  -8.080  -13.539    16.236
 15.26  -8.626  -14.354    16.897
 15.27  -9.199  -15.168    17.685
 15.28  -9.796  -15.965    18.608
 15.29 -10.413  -16.726    19.676
 15.30 -11.044  -17.425    20.893
 15.31 -11.682  -18.036    22.260
 15.32 -12.317  -18.526    23.773
 15.33 -12.938  -18.861    25.421
 15.34 -13.530  -19.006    27.184
 15.35 -14.078  -18.927    29.030
 15.36 -14.563  -18.592    30.921
 15.37 -14.966  -17.981    32.804
 15.38 -15.267  -17.082    34.620
 15.39 -15.449  -15.901    36.305
 15.40 -15.494  -14.459    37.793
 15.41 -15.391  -12.797    39.026
 15.42 -15.131  -10.972    39.954
 15.43 -14.715   -9.053    40.549
 15.44 -14.149   -7.116    40.800
 15.45 -13.446   -5.234    40.719
 15.46 -12.625   -3.471    40.337
 15.47 -11.709   -1.879    39.700
 15.48 -10.726   -0.491    38.861
 15.49  -9.703    0.679    37.877
 15.50  -8.664    1.631    36.801
 15.51  -7.635    2.377    35.679
 15.52  -6.634    2.940    34.546
 15.53  -5.676    3.345    33.429
 15.54  -4.774    3.619    32.348
 15.55  -3.935    3.791    31.313
 15.56  -3.162    3.883    30.329
 15.57  -2.458    3.918    29.397
 15.58  -1.820    3.913    28.517
 15.59  -1.247    3.883    27.685
 15.60  -0.734    3.841    26.898
 15.61  -0.276    3.794    26.153
 15.62   0.131    3.751    25.445
 15.63   0.493    3.717    24.771
 15.64   0.815    3.696    24.129
 15.65   1.103    3.690    23.516
 15.66   1.362    3.703    22.929
 15.67   1.596    3.735    22.368
 15.68   1.810    3.787    21.832
 15.69   2.008    3.861    21.318
 15.70   2.193    3.957    20.827
 15.71   2.369    4.074    20.358
 15.72   2.540    4.215    19.912
 15.73   2.707    4.378    19.488
 15.74   2.874    4.565    19.087
 15.75   3.043    4.775    18.709
 15.76   3.217    5.010    18.355
 15.77   3.396    5.270    18.027
 15.78   3.583    5.556    17.725
 15.79   3.781    5.869    17.452
 15.80   3.989    6.209    17.208
 15.81   4.211    6.577    16.997
 15.82   4.448    6.975    16.821
 15.83   4.701    7.403    16.683
 15.84   4.971    7.860    16.586
 15.85   5.260    8.349    16.534
 15.86   5.569    8.869    16.532
 15.87   5.899    9.419    16.585
 15.88   6.251    9.998    16.699
 15.89   6.626   10.604    16.878
 15.90   7.023   11.235    17.131
 15.91   7.445   11.886    17.463
 15.92   7.889   12.552    17.882
 15.93   8.355   13.224    18.396
 15.94   8.842   13.895    19.010
 15.95   9.347   14.551    19.732
 15.96   9.868   15.178    20.566
 15.97  10.399   15.760    21.515
 15.98  10.935   16.277    22.580
 15.99  11.469   16.706    23.758
 16.00  11.993   17.026    25.040
 16.01  12.496   17.211    26.414
 16.02  12.967   17.237    27.860
 16.03  13.394   17.082    29.353
 16.04  13.763   16.730    30.858
 16.05  14.060   16.170    32.338
 16.06  14.271   15.398    33.749
 16.07  14.384   14.424    35.046
 16.08  14.388   13.266    36.186
 16.09  14.275   11.956    37.130
 16.10  14.043   10.533    37.847
 16.11  13.692    9.044    38.317
 16.12  13.228    7.541    38.533
 16.13  12.659    6.073    38.503
 16.14  12.000    4.682    38.245
 16.15  11.269    3.406    37.787
 16.16  10.482    2.269    37.163
 16.17   9.661    1.286    36.410
 16.18   8.823    0.461    35.564
 16.19   7.987   -0.211    34.656
 16.20   7.167   -0.741    33.715
 16.21   6.377   -1.143    32.763
 16.22   5.625   -1.435    31.816
 16.23   4.919   -1.636    30.887
 16.24   4.263   -1.761    29.983
 16.25   3.661   -1.828    29.108
 16.26   3.112   -1.850    28.265
 16.27   2.616   -1.840    27.454
 16.28   2.170   -1.808    26.673
 16.29   1.772   -1.761    25.923
 16.30   1.419   -1.706    25.200
 16.31   1.106   -1.649    24.504
 16.32   0.831   -1.594    23.833
 16.33   0.588   -1.544    23.184
 16.34   0.375   -1.500    22.556
 16.35   0.188   -1.465    21.949
 16.36   0.022   -1.439    21.361
 16.37  -0.124   -1.423    20.791
 16.38  -0.254   -1.417    20.239
 16.39  -0.370   -1.423    19.703
 16.40  -0.475   -1.439    19.182
 16.41  -0.572   -1.467    18.678
 16.42  -0.661   -1.505    18.188
 16.43  -0.746   -1.555    17.713
 16.44  -0.827   -1.616    17.252
 16.45  -0.906   -1.689    16.806
 16.46  -0.984   -1.774    16.373
 16.47  -1.063   -1.870    15.954
 16.48  -1.144   -1.980    15.548
 16.49  -1.227   -2.102    15.156
 16.50  -1.315   -2.239    14.778
 16.51  -1.407   -2.390    14.413
 16.52  -1.505   -2.558    14.062
 16.53  -1.611   -2.742    13.726
 16.54  -1.724   -2.944    13.404
 16.55  -1.846   -3.166    13.097
 16.56  -1.978   -3.410    12.806
 16.57  -2.121   -3.676    12.532
 16.58  -2.277   -3.968    12.276
 16.59  -2.446   -4.286    12.039
 16.60  -2.630   -4.633    11.823
 16.61  -2.830   -5.012    11.629
 16.62  -3.048   -5.426    11.461
 16.63  -3.286   -5.876    11.321
 16.64  -3.545   -6.365    11.212
 16.65  -3.827   -6.896    11.139
 16.66  -4.134   -7.473    11.106
 16.67  -4.468   -8.096    11.118
 16.68  -4.831   -8.770    11.184
 16.69  -5.225   -9.494    11.309
 16.70  -5.652  -10.271    11.504
 16.71  -6.114  -11.101    11.777
 16.72  -6.612  -11.982    12.142
 16.73  -7.149  -12.911    12.610
 16.74  -7.725  -13.882    13.197
 16.75  -8.341  -14.886    13.918
 16.76  -8.996  -15.912    14.788
 16.77  -9.687  -16.942    15.825
 16.78 -10.413  -17.952    17.044
 16.79 -11.167  -18.913    18.459
 16.80 -11.941  -19.789    20.079
 16.81 -12.726  -20.537    21.906
 16.82 -13.507  -21.107    23.936
 16.83 -14.267  -21.445    26.148
 16.84 -14.985  -21.495    28.511
 16.85 -15.636  -21.203    30.971
 16.86 -16.193  -20.527    33.461
 16.87 -16.626  -19.437    35.892
 16.88 -16.907  -17.931    38.167
 16.89 -17.009  -16.032    40.180
 16.90 -16.912  -13.800    41.836
 16.91 -16.601  -11.322    43.054
 16.92 -16.073   -8.710    43.786
 16.93 -15.337   -6.086    44.018
 16.94 -14.411   -3.568    43.778
 16.95 -13.327   -1.259    43.124
 16.96 -12.120    0.769    42.142
 16.97 -10.831    2.476    40.925
 16.98  -9.501    3.851    39.566
 16.99  -8.165    4.911    38.145
 17.00  -6.858    5.691    36.727
 17.01  -5.603    6.232    35.357
 17.02  -4.419    6.582    34.065
 17.03  -3.319    6.784    32.866
 17.04  -2.309    6.878    31.764
 17.05  -1.390    6.896    30.758
 17.06  -0.562    6.865    29.842
 17.07   0.181    6.807    29.008
 17.08   0.844    6.737    28.246
 17.09   1.433    6.668    27.550
 17.10   1.957    6.608    26.911
 17.11   2.422    6.563    26.323
 17.12   2.836    6.538    25.780
 17.13   3.206    6.535    25.278
 17.14   3.539    6.557    24.813
 17.15   3.841    6.604    24.383
 17.16   4.117    6.677    23.987
 17.17   4.373    6.776    23.622
 17.18   4.613    6.899    23.288
 17.19   4.842    7.048    22.986
 17.20   5.063    7.220    22.714
 17.21   5.278    7.416    22.474
 17.22   5.492    7.633    22.266
 17.23   5.706    7.872    22.091
 17.24   5.923    8.130    21.951
 17.25   6.143    8.407    21.848
 17.26   6.370    8.701    21.782
 17.27   6.603    9.010    21.755
 17.28   6.844    9.332    21.770
 17.29   7.093    9.665    21.828
 17.30   7.350   10.006    21.931
 17.31   7.615   10.352    22.082
 17.32   7.889   10.700    22.281
 17.33   8.170   11.044    22.531
 17.34   8.458   11.380    22.833
 17.35   8.750   11.703    23.186
 17.36   9.045   12.007    23.592
 17.37   9.341   12.286    24.049
 17.38   9.636   12.532    24.556
 17.39   9.926   12.739    25.108
 17.40  10.207   12.899    25.703
 17.41  10.476   13.004    26.334
 17.42  10.729   13.048    26.994
 17.43  10.961   13.026    27.674
 17.44  11.167   12.931    28.364
 17.45  11.344   12.761    29.052
 17.46  11.485   12.514    29.725
 17.47  11.588   12.191    30.369
 17.48  11.649   11.795    30.972
 17.49  11.663   11.330    31.520
 17.50  11.630   10.807    32.001
 17.51  11.548   10.233    32.405
 17.52  11.416    9.622    32.722
 17.53  11.237    8.987    32.948
 17.54  11.012    8.341    33.079
 17.55  10.745    7.698    33.116
 17.56  10.440    7.072    33.060
 17.57  10.103    6.473    32.916
 17.58   9.740    5.911    32.693
 17.59   9.357    5.395    32.397
 17.60   8.961    4.930    32.038
 17.61   8.558    4.519    31.625
 17.62   8.154    4.163    31.168
 17.63   7.755    3.863    30.677
 17.64   7.366    3.617    30.158
 17.65   6.991    3.422    29.620
 17.66   6.634    3.274    29.070
 17.67   6.298    3.171    28.512
 17.68   5.985    3.107    27.951
 17.69   5.697    3.079    27.392
 17.70   5.436    3.082    26.837
 17.71   5.200    3.115    26.289
 17.72   4.992    3.173    25.749
 17.73   4.810    3.253    25.221
 17.74   4.654    3.354    24.705
 17.75   4.524    3.474    24.202
 17.76   4.419    3.611    23.714
 17.77   4.338    3.765    23.241
 17.78   4.281    3.933    22.785
 17.79   4.246    4.117    22.346
 17.80   4.233    4.316    21.925
 17.81   4.242    4.530    21.523
 17.82   4.271    4.760    21.141
 17.83   4.319    5.005    20.781
 17.84   4.388    5.267    20.443
 17.85   4.476    5.546    20.129
 17.86   4.583    5.843    19.840
 17.87   4.709    6.158    19.579
 17.88   4.854    6.493    19.347
 17.89   5.018    6.848    19.146
 17.90   5.201    7.224    18.979
 17.91   5.403    7.621    18.848
 17.92   5.625    8.039    18.758
 17.93   5.866    8.479    18.710
 17.94   6.128    8.939    18.708
 17.95   6.409    9.419    18.757
 17.96   6.710    9.917    18.860
 17.97   7.030   10.431    19.023
 17.98   7.370   10.958    19.249
 17.99   7.729   11.493    19.543
 18.00   8.106   12.032    19.910
 18.01   8.498   12.567    20.355
 18.02   8.905   13.091    20.880
 18.03   9.324   13.595    21.489
 18.04   9.751   14.066    22.183
 18.05  10.182   14.492    22.963
 18.06  10.613   14.860    23.827
 18.07  11.038   15.154    24.769
 18.08  11.450   15.360    25.781
 18.09  11.841   15.460    26.852
 18.10  12.203   15.441    27.966
 18.11  12.527   15.291    29.105
 18.12  12.803   15.000    30.244
 18.13  13.023   14.562    31.358
 18.14  13.177   13.980    32.418
 18.15  13.257   13.258    33.396
 18.16  13.257   12.410    34.263
 18.17  13.172   11.455    34.994
 18.18  13.001   10.419    35.570
 18.19  12.742    9.331    35.976
 18.20  12.401    8.221    36.206
 18.21  11.983    7.122    36.260
 18.22  11.497    6.060    36.146
 18.23  10.953    5.063    35.879
 18.24  10.364    4.150    35.477
 18.25   9.743    3.333    34.961
 18.26   9.102    2.622    34.354
 18.27   8.454    2.017    33.676
 18.28   7.810    1.517    32.949
 18.29   7.181    1.115    32.188
 18.30   6.574    0.804    31.410
 18.31   5.997    0.571    30.625
 18.32   5.455    0.408    29.843
 18.33   4.950    0.303    29.069
 18.34   4.485    0.248    28.309
 18.35   4.062    0.231    27.565
 18.36   3.679    0.247    26.840
 18.37   3.335    0.287    26.133
 18.38   3.030    0.346    25.446
 18.39   2.762    0.420    24.778
 18.40   2.528    0.505    24.129
 18.41   2.326    0.598    23.498
 18.42   2.153    0.696    22.885
 18.43   2.007    0.800    22.290
 18.44   1.886    0.906    21.712
 18.45   1.788    1.016    21.150
 18.46   1.711    1.128    20.604
 18.47   1.653    1.243    20.074
 18.48   1.612    1.362    19.559
 18.49   1.587    1.484    19.059
 18.50   1.577    1.611    18.575
 18.51   1.580    1.744    18.105
 18.52   1.596    1.883    17.650
 18.53   1.625    2.029    17.209
 18.54   1.666    2.184    16.783
 18.55   1.717    2.349    16.372
 18.56   1.781    2.525    15.976
 18.57   1.855    2.714    15.595
 18.58   1.941    2.917    15.229
 18.59   2.039    3.136    14.880
 18.60   2.148    3.372    14.547
 18.61   2.271    3.627    14.231
 18.62   2.406    3.904    13.934
 18.63   2.556    4.203    13.656
 18.64   2.721    4.528    13.400
 18.65   2.902    4.880    13.166
 18.66   3.099    5.262    12.956
 18.67   3.316    5.675    12.774
 18.68   3.552    6.123    12.621
 18.69   3.809    6.608    12.502
 18.70   4.089    7.132    12.420
 18.71   4.393    7.698    12.381
 18.72   4.724    8.307    12.389
 18.73   5.082    8.962    12.451
 18.74   5.470    9.662    12.574
 18.75   5.889   10.409    12.768
 18.76   6.341   11.202    13.040
 18.77   6.827   12.039    13.403
 18.78   7.348   12.915    13.867
 18.79   7.905   13.825    14.446
 18.80   8.497   14.758    15.154
 18.81   9.123   15.702    16.004
 18.82   9.781   16.639    17.010
 18.83  10.467   17.548    18.183
 18.84  11.175   18.400    19.535
 18.85  11.897   19.162    21.070
 18.86  12.624   19.794    22.788
 18.87  13.341   20.254    24.679
 18.88  14.032   20.495    26.723
 18.89  14.678   20.469    28.887
 18.90  15.257   20.134    31.121
 18.91  15.745   19.457    33.363
 18.92  16.116   18.418    35.537
 18.93  16.346   17.019    37.557
 18.94  16.414   15.286    39.338
 18.95  16.301   13.273    40.798
 18.96  15.998   11.054    41.873
 18.97  15.504    8.724    42.525
 18.98  14.826    6.385    42.744
 18.99  13.982    4.135    42.550
 19.00  12.997    2.059    41.994
 19.01  11.903    0.220    41.142
 19.02  10.735   -1.347    40.071
 19.03   9.527   -2.629    38.858
 19.04   8.311   -3.637    37.571
 19.05   7.116   -4.396    36.267
 19.06   5.965   -4.940    34.987
 19.07   4.874   -5.308    33.759
 19.08   3.856   -5.535    32.600
 19.09   2.917   -5.657    31.517
 19.10   2.060   -5.703    30.512
 19.11   1.283   -5.698    29.581
 19.12   0.585   -5.661    28.719
 19.13  -0.039   -5.609    27.920
 19.14  -0.596   -5.553    27.177
 19.15  -1.092   -5.502    26.486
 19.16  -1.533   -5.464    25.840
 19.17  -1.926   -5.442    25.234
 19.18  -2.278   -5.441    24.666
 19.19  -2.594   -5.463    24.132
 19.20  -2.881   -5.508    23.631
 19.21  -3.144   -5.579    23.159
 19.22  -3.387   -5.676    22.717
 19.23  -3.616   -5.798    22.303
 19.24  -3.834   -5.946    21.918
 19.25  -4.045   -6.120    21.562
 19.26  -4.253   -6.319    21.234
 19.27  -4.459   -6.543    20.937
 19.28  -4.668   -6.793    20.670
 19.29  -4.880   -7.067    20.436
 19.30  -5.099   -7.366    20.236
 19.31  -5.326   -7.688    20.072
 19.32  -5.562   -8.033    19.946
 19.33  -5.809   -8.401    19.861
 19.34  -6.068   -8.790    19.820
 19.35  -6.340   -9.198    19.824
 19.36  -6.626   -9.624    19.879
 19.37  -6.926  -10.066    19.987
 19.38  -7.240  -10.521    20.151
 19.39  -7.568  -10.984    20.375
 19.40  -7.910  -11.451    20.663
 19.41  -8.264  -11.917    21.018
 19.42  -8.629  -12.375    21.442
 19.43  -9.004  -12.817    21.938
 19.44  -9.385  -13.234    22.507
 19.45  -9.770  -13.617    23.149
 19.46 -10.155  -13.955    23.862
 19.47 -10.535  -14.236    24.643
 19.48 -10.905  -14.447    25.485
 19.49 -11.259  -14.577    26.381
 19.50 -11.591  -14.613    27.319
 19.51 -11.893  -14.546    28.284
 19.52 -12.158  -14.367    29.260
 19.53 -12.379  -14.070    30.227
 19.54 -12.548  -13.654    31.162
 19.55 -12.659  -13.120    32.045
 19.56 -12.705  -12.477    32.851
 19.57 -12.682  -11.736    33.560
 19.58 -12.588  -10.914    34.154
 19.59 -12.420  -10.030    34.617
 19.60 -12.181   -9.108    34.939
 19.61 -11.874   -8.171    35.117
 19.62 -11.504   -7.245    35.151
 19.63 -11.078   -6.350    35.047
 19.64 -10.605   -5.505    34.816
 19.65 -10.095   -4.728    34.471
 19.66  -9.558   -4.027    34.029
 19.67  -9.005   -3.411    33.507
 19.68  -8.446   -2.881    32.920
 19.69  -7.889   -2.436    32.286
 19.70  -7.344   -2.074    31.617
 19.71  -6.817   -1.787    30.926
 19.72  -6.314   -1.570    30.223
 19.73  -5.840   -1.414    29.516
 19.74  -5.397   -1.311    28.812
 19.75  -4.988   -1.254    28.114
 19.76  -4.615   -1.236    27.427
 19.77  -4.277   -1.250    26.753
 19.78  -3.974   -1.291    26.093
 19.79  -3.706   -1.354    25.448
 19.80  -3.471   -1.435    24.820
 19.81  -3.267   -1.531    24.208
 19.82  -3.094   -1.640    23.612
 19.83  -2.948   -1.759    23.033
 19.84  -2.829   -1.888    22.471
 19.85  -2.735   -2.025    21.925
 19.86  -2.664   -2.171    21.396
 19.87  -2.615   -2.325    20.883
 19.88  -2.586   -2.488    20.387
 19.89  -2.576   -2.660    19.908
 19.90  -2.585   -2.842    19.445
 19.91  -2.610   -3.035    19.000
 19.92  -2.653   -3.239    18.573
 19.93  -2.711   -3.457    18.164
 19.94  -2.786   -3.689    17.773
 19.95  -2.876   -3.937    17.402
 19.96  -2.982   -4.203    17.051
 19.97  -3.104   -4.487    16.722
 19.98  -3.243   -4.792    16.415
 19.99  -3.398   -5.120    16.133
 20.00  -3.570   -5.472    15.876
 20.01  -3.760   -5.850    15.648
 20.02  -3.969   -6.256    15.451
 20.03  -4.198   -6.692    15.287
 20.04  -4.447   -7.158    15.161
 20.05  -4.718   -7.658    15.075
 20.06  -5.012   -8.191    15.034
 20.07  -5.330   -8.759    15.044
 20.08  -5.673   -9.362    15.109
 20.09  -6.042  -10.000    15.238
 20.10  -6.438  -10.671    15.435
 20.11  -6.861  -11.373    15.711
 20.12  -7.312  -12.103    16.072
 20.13  -7.791  -12.854    16.529
 20.14  -8.298  -13.619    17.089
 20.15  -8.830  -14.388    17.764
 20.16  -9.386  -15.148    18.560
 20.17  -9.962  -15.883    19.487
 20.18 -10.554  -16.572    20.550
 20.19 -11.156  -17.192    21.751
 20.20 -11.759  -17.718    23.089
 20.21 -12.355  -18.118    24.556
 20.22 -12.931  -18.362    26.140
 20.23 -13.474  -18.419    27.817
 20.24 -13.969  -18.260    29.557
 20.25 -14.398  -17.859    31.320
 20.26 -14.744  -17.203    33.056
 20.27 -14.990  -16.285    34.711
 20.28 -15.120  -15.116    36.227
 20.29 -15.119  -13.721    37.546
 20.30 -14.979  -12.141    38.619
 20.31 -14.696  -10.429    39.408
 20.32 -14.269   -8.648    39.890
 20.33 -13.707   -6.865    40.060
 20.34 -13.023   -5.143    39.933
 20.35 -12.235   -3.538    39.538
 20.36 -11.365   -2.091    38.916
 20.37 -10.438   -0.829    38.116
 20.38  -9.477    0.235    37.186
 20.39  -8.506    1.103    36.172
 20.40  -7.545    1.787    35.114
 20.41  -6.612    2.306    34.043
 20.42  -5.720    2.682    32.982
 20.43  -4.880    2.941    31.950
 20.44  -4.098    3.104    30.954
 20.45  -3.377    3.194    30.001
 20.46  -2.720    3.230    29.093
 20.47  -2.125    3.227    28.230
 20.48  -1.590    3.200    27.408
 20.49  -1.111    3.158    26.627
 20.50  -0.684    3.111    25.882
 20.51  -0.305    3.066    25.170
 20.52   0.032    3.027    24.490
 20.53   0.332    2.997    23.837
 20.54   0.598    2.981    23.212
 20.55   0.837    2.980    22.611
 20.56   1.051    2.995    22.033
 20.57   1.245    3.028    21.477
 20.58   1.424    3.079    20.942
 20.59   1.589    3.149    20.427
 20.60   1.745    3.238    19.932
 20.61   1.894    3.346    19.457
 20.62   2.040    3.474    19.002
 20.63   2.183    3.623    18.566
 20.64   2.327    3.793    18.150
 20.65   2.474    3.984    17.754
 20.66   2.625    4.198    17.379
 20.67   2.782    4.435    17.026
 20.68   2.947    4.696    16.695
 20.69   3.122    4.982    16.389
 20.70   3.308    5.295    16.107
 20.71   3.507    5.635    15.853
 20.72   3.720    6.005    15.628
 20.73   3.948    6.405    15.434
 20.74   4.194    6.837    15.276
 20.75   4.458    7.302    15.155
 20.76   4.743    7.802    15.076
 20.77   5.048    8.337    15.044
 20.78   5.377    8.907    15.064
 20.79   5.730    9.514    15.141
 20.80   6.109   10.156    15.283
 20.81   6.513   10.831    15.495
 20.82   6.945   11.537    15.788
 20.83   7.404   12.270    16.168
 20.84   7.891   13.023    16.645
 20.85   8.404   13.789    17.229
 20.86   8.943   14.556    17.928
 20.87   9.504   15.311    18.752
 20.88  10.085   16.037    19.707
 20.89  10.680   16.713    20.799
 20.90  11.283   17.315    22.029
 20.91  11.886   17.816    23.396
 20.92  12.479   18.185    24.889
 20.93  13.050   18.391    26.495
 20.94  13.584   18.404    28.188
 20.95  14.066   18.194    29.937
 20.96  14.479   17.740    31.698
 20.97  14.805   17.027    33.421
 20.98  15.027   16.054    35.050
 20.99  15.130   14.834    36.528
 21.00  15.100   13.395    37.798
 21.01  14.930   11.782    38.813
 21.02  14.615   10.050    39.537
 21.03  14.158    8.263    39.952
 21.04  13.569    6.488    40.056
 21.05  12.861    4.787    39.868
 21.06  12.053    3.213    39.421
 21.07  11.169    1.805    38.757
 21.08  10.233    0.585    37.925
 21.09   9.268   -0.436    36.974
 21.10   8.298   -1.264    35.947
 21.11   7.342   -1.911    34.884
 21.12   6.416   -2.397    33.813
 21.13   5.535   -2.746    32.758
 21.14   4.707   -2.982    31.732
 21.15   3.938   -3.128    30.746
 21.16   3.231   -3.204    29.803
 21.17   2.588   -3.231    28.904
 21.18   2.006   -3.222    28.050
 21.19   1.483   -3.191    27.237
 21.20   1.016   -3.147    26.464
 21.21   0.600   -3.100    25.726
 21.22   0.230   -3.056    25.021
 21.23  -0.099   -3.018    24.347
 21.24  -0.391   -2.992    23.701
 21.25  -0.651   -2.979    23.080
 21.26  -0.884   -2.981    22.484
 21.27  -1.093   -3.000    21.911
 21.28  -1.284   -3.036    21.360
 21.29  -1.459   -3.091    20.829
 21.30  -1.622   -3.165    20.319
 21.31  -1.777   -3.258    19.828
 21.32  -1.925   -3.370    19.357
 21.33  -2.069   -3.503    18.906
 21.34  -2.213   -3.656    18.474
 21.35  -2.357   -3.831    18.063
 21.36  -2.504   -4.026    17.671
 21.37  -2.657   -4.245    17.301
 21.38  -2.815   -4.487    16.952
 21.39  -2.983   -4.753    16.627
 21.40  -3.160   -5.045    16.325
 21.41  -3.348   -5.363    16.049
 21.42  -3.550   -5.709    15.801
 21.43  -3.766   -6.085    15.582
 21.44  -3.998   -6.492    15.396
 21.45  -4.247   -6.931    15.244
 21.46  -4.515   -7.404    15.132
 21.47  -4.804   -7.911    15.063
 21.48  -5.115   -8.453    15.041
 21.49  -5.449   -9.031    15.073
 21.50  -5.807   -9.645    15.163
 21.51  -6.191  -10.294    15.319
 21.52  -6.601  -10.976    15.547
 21.53  -7.039  -11.689    15.857
 21.54  -7.504  -12.426    16.257
 21.55  -7.996  -13.183    16.756
 21.56  -8.515  -13.951    17.363
 21.57  -9.058  -14.717    18.088
 21.58  -9.624  -15.467    18.939
 21.59 -10.208  -16.185    19.923
 21.60 -10.806  -16.847    21.044
 21.61 -11.410  -17.431    22.303
 21.62 -12.012  -17.906    23.697
 21.63 -12.602  -18.244    25.216
 21.64 -13.166  -18.413    26.843
 21.65 -13.691  -18.381    28.551
 21.66 -14.160  -18.122    30.306
 21.67 -14.556  -17.614    32.064
 21.68 -14.862  -16.846    33.773
 21.69 -15.060  -15.820    35.376
 21.70 -15.136  -14.551    36.815
 21.71 -15.078  -13.071    38.036
 21.72 -14.877  -11.427    38.992
 21.73 -14.532   -9.678    39.652
 21.74 -14.046   -7.888    40.001
 21.75 -13.431   -6.123    40.043
 21.76 -12.700   -4.444    39.797
 21.77 -11.874   -2.902    39.300
 21.78 -10.977   -1.531    38.597
 21.79 -10.032   -0.352    37.736
 21.80  -9.064    0.628    36.765
 21.81  -8.095    1.416    35.727
 21.82  -7.144    2.027    34.660
 21.83  -6.227    2.483    33.591
 21.84  -5.356    2.806    32.540
 21.85  -4.540    3.021    31.522
 21.86  -3.784    3.151    30.545
 21.87  -3.090    3.216    29.611
 21.88  -2.459    3.234    28.722
 21.89  -1.890    3.219    27.876
 21.90  -1.379    3.184    27.072
 21.91  -0.923    3.140    26.306
 21.92  -0.517    3.093    25.576
 21.93  -0.156    3.049    24.878
 21.94   0.165    3.014    24.210
 21.95   0.450    2.990    23.569
 21.96   0.704    2.980    22.954
 21.97   0.931    2.986    22.363
 21.98   1.137    3.008    21.794
 21.99   1.324    3.049    21.247
 22.00   1.496    3.108    20.721
 22.01   1.658    3.186    20.215
 22.02   1.810    3.283    19.729
 22.03   1.958    3.400    19.262
 22.04   2.102    3.537    18.815
 22.05   2.245    3.694    18.388
 22.06   2.390    3.873    17.980
 22.07   2.539    4.074    17.593
 22.08   2.692    4.298    17.228
 22.09   2.853    4.545    16.884
 22.10   3.022    4.816    16.563
 22.11   3.201    5.114    16.267
 22.12   3.393    5.438    15.997
 22.13   3.597    5.791    15.755
 22.14   3.816    6.174    15.543
 22.15   4.052    6.587    15.364
 22.16   4.306    7.033    15.222
 22.17   4.578    7.513    15.118
 22.18   4.872    8.028    15.059
 22.19   5.188    8.578    15.049
 22.20   5.527    9.164    15.093
 22.21   5.890    9.786    15.197
 22.22   6.280   10.442    15.368
 22.23   6.696   11.131    15.614
 22.24   7.140   11.849    15.943
 22.25   7.611   12.591    16.363
 22.26   8.109   13.351    16.885
 22.27   8.633   14.119    17.518
 22.28   9.181   14.883    18.269
 22.29   9.752   15.627    19.149
 22.30  10.339   16.334    20.162
 22.31  10.939   16.981    21.313
 22.32  11.543   17.543    22.602
 22.33  12.143   17.990    24.024
 22.34  12.728   18.293    25.568
 22.35  13.284   18.420    27.215
 22.36  13.798   18.340    28.936
 22.37  14.252   18.027    30.695
